,№,"Страна, город",Заражений,Смертей,Выздоровлений,% Смертей
90,91,Сомали,1 731 + 0,67 +0,265 +0,3.87%
91,92,Майотта,1 670 + 25,21 +1,1 315 +1,1.25%
92,93,Литва,1 656 + 9,68 +2,1 193 +2,4.10%
93,94,Кения,1 618 + 147,58 +3,421 +3,3.58%
94,95,Киргизия,1 594 + 74,16 +0,1 066 +0,1.00%
95,96,Словакия,1 520 + 5,28 +0,1 332 +0,1.84%
96,97,Новая Зеландия,1 504 + 0,22 +1,1 474 +1,1.46%
97,98,Шри-Ланка,1 503 + 34,10 +0,745 +0,0.66%
98,99,Словения,1 473 + 2,108 +0,1 356 +0,7.33%
99,100,Мальдивы,1 457 + 0,5 +0,197 +0,0.34%
100,101,Гаити,1 320 + 146,34 +1,29 +1,2.57%
101,102,Венесуэла,1 245 + 0,16 +0,302 +0,1.28%
102,103,Гвинея-Бисау,1 195 + 0,7 +0,42 +0,0.58%
103,104,Ливан,1 168 + 7,26 +0,699 +0,2.22%
104,105,Мали,1 116 + 0,70 +0,632 +0,6.27%
105,106,Албания,1 076 + 26,33 +0,823 +0,3.06%
106,107,Тунис,1 068 + 17,48 +0,938 +0,4.49%
107,108,Гонконг,1 067 + 0,4 +0,1 035 +0,0.37%
108,109,Латвия,1 061 + 4,24 +1,741 +1,2.26%
109,110,Замбия,1 057 + 0,7 +0,779 +0,0.66%
110,111,Экваториальная Гвинея,1 043 + 0,12 +0,165 +0,1.15%
111,112,Непал,1 042 + 156,5 +1,187 +1,0.47%
112,113,Косово,1 003 + 0,29 +0,772 +0,2.89%
113,114,Коста-Рика,984 + 0,10 +0,639 +0,1.01%
114,115,Нигер,955 + 3,64 +1,796 +1,6.70%
115,116,Кипр,939 + 0,17 +0,594 +0,1.81%
116,117,Уругвай,887 + 0,22 +0,650 +0,2.48%
117,118,Парагвай,884 + 0,11 +0,392 +0,1.24%
118,119,Буркина-Фасо,845 + 0,53 +0,672 +0,6.27%
119,120,Эфиопия,831 + 100,7 +1,191 +1,0.84%
120,121,Сьерра-Леоне,812 + 30,45 +0,361 +0,5.54%
121,122,Андорра,763 + 0,51 +0,676 +0,6.68%
122,123,Никарагуа,759 + 0,35 +0,370 +0,4.61%
123,124,Грузия,738 + 3,12 +0,573 +0,1.62%
124,125,Иордания,720 + 0,9 +0,586 +0,1.25%
125,126,Чад,715 + 0,64 +0,359 +0,8.95%
126,127,Diamond Princess,712 + 0,14 +0,651 +0,1.96%
127,128,Сан-Марино,670 + 3,42 +0,322 +0,6.26%
128,129,Мадагаскар,656 + 44,2 +0,154 +0,0.30%
129,130,Мальта,616 + 4,7 +0,501 +0,1.13%
130,131,Палестина,577 + 0,4 +0,365 +0,0.69%
131,132,Республика Конго,571 + 0,19 +0,161 +0,3.32%
132,133,Ямайка,569 + 5,9 +0,279 +0,1.58%
133,134,Нормандские острова,560 + 0,45 +0,517 +0,8.03%
134,135,Танзания,509 + 0,21 +0,183 +0,4.12%
135,136,Реюньон,460 + 0,1 +0,411 +0,0.21%
136,137,Тайвань,441 + 0,7 +0,420 +0,1.58%
137,138,Гвиана,406 + 0,1 +0,150 +0,0.24%
138,139,Того,395 + 0,13 +0,183 +0,3.29%
139,140,Кабо-Верде,390 + 0,4 +0,155 +0,1.02%
140,141,ЛНР,377 + 0,1 +0,111 +0,0.26%
141,142,Руанда,346 + 0,0 +0,245 +0,0.00%
142,143,Бенин,339 + 0,3 +0,134 +0,0.88%
143,144,Остров Мэн,336 + 0,24 +0,306 +0,7.14%
144,145,Маврикий,334 + 0,10 +0,322 +0,2.99%
145,146,Вьетнам,327 + 0,0 +0,278 +0,0.00%
146,147,Черногория,324 + 0,9 +0,315 +0,2.77%
